# proj, module, fic_sha, # tests selected (normal), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal
apache/incubator-dubbo,dubbo-cluster,fcd1af8,108.00000000000000000000,100.00,55.05320000000000000000,0.00,55.05320000000000000000,100.00,40.40000000000000000000,37.71528704939919893190,18.15400000000000000000,.01760000000000000000,18.13640000000000000000,32.91567367202716749709,102.00000000000000000000,94.44259012016021361815,53.69220000000000000000,.05680000000000000000,53.63540000000000000000,97.55009656879414274668
apache/incubator-dubbo,dubbo-common,3c6201c,287.20000000000000000000,100.00,142.58300000000000000000,0.00,142.58300000000000000000,100.00,9.40000000000000000000,3.25335959259657534379,40.35520000000000000000,.01840000000000000000,40.33680000000000000000,26.81775426756961662122,112.00000000000000000000,39.30899064221846369346,94.63660000000000000000,.02480000000000000000,94.61180000000000000000,68.09027305204438956451
apache/incubator-dubbo,dubbo-config/dubbo-config-api,46c6ccb,35.00000000000000000000,100.00,54.57820000000000000000,0.00,54.57820000000000000000,100.00,23.20000000000000000000,48.69565217391304347826,26.70180000000000000000,.02760000000000000000,26.67420000000000000000,49.15779257855885938274,25.80000000000000000000,60.00000000000000000000,32.80380000000000000000,.05240000000000000000,32.75140000000000000000,60.31676410054508332949
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,5f5fecd,62.40000000000000000000,100.00,61.86520000000000000000,0.00,61.86520000000000000000,100.00,9.00000000000000000000,14.25827360253589761786,45.06580000000000000000,.03120000000000000000,45.03460000000000000000,54.42357591910761543657,14.40000000000000000000,22.68611170250514512809,51.85200000000000000000,.07180000000000000000,51.78020000000000000000,61.05813929821277820160
apache/incubator-dubbo,dubbo-filter/dubbo-filter-cache,9f7306f,2.80000000000000000000,100.00,12.44480000000000000000,0.00,12.44480000000000000000,100.00,2.40000000000000000000,80.00000000000000000000,10.97620000000000000000,.06440000000000000000,10.91180000000000000000,77.08516542816849757812,2.40000000000000000000,80.00000000000000000000,11.08520000000000000000,.06800000000000000000,11.01720000000000000000,77.42171690067222512855
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,b055991,52.80000000000000000000,100.00,49.33880000000000000000,0.00,49.33880000000000000000,100.00,23.20000000000000000000,38.99999999999999999999,20.72600000000000000000,.01800000000000000000,20.70800000000000000000,38.53506417129373987831,37.40000000000000000000,63.05649717514124293785,23.14820000000000000000,.03020000000000000000,23.11800000000000000000,43.03931984482661988903
apache/incubator-dubbo,dubbo-serialization/dubbo-serialization-fst,6784375,61.80000000000000000000,100.00,6.02380000000000000000,0.00,6.02380000000000000000,100.00,18.60000000000000000000,40.00000000000000000000,2.60720000000000000000,.06060000000000000000,2.54660000000000000000,39.97843452129845298489,18.60000000000000000000,40.00000000000000000000,2.54840000000000000000,.06080000000000000000,2.48760000000000000000,39.08789138334757660019
ctco/cukes,cukes-http,216a5da,8.50000000000000000000,100.00,10.28275000000000000000,0.00,10.28275000000000000000,100.00,5.00000000000000000000,50.00000000000000000000,6.14450000000000000000,.19250000000000000000,5.95200000000000000000,51.96009187748940610538,5.00000000000000000000,50.00000000000000000000,5.98175000000000000000,.15900000000000000000,5.82275000000000000000,50.62005365000059481248
dropwizard/dropwizard,dropwizard-logging,416bdaa,74.40000000000000000000,100.00,36.59640000000000000000,0.00,36.59640000000000000000,100.00,28.20000000000000000000,37.55605505605505605505,27.33860000000000000000,.03720000000000000000,27.30140000000000000000,66.50238956179765800114,48.60000000000000000000,64.91536241536241536241,30.06820000000000000000,.05200000000000000000,30.01620000000000000000,74.50129079410111231867
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,7e2505b,309.20000000000000000000,100.00,82.36920000000000000000,0.00,82.36920000000000000000,100.00,123.20000000000000000000,39.98309444589421025518,27.50900000000000000000,.03020000000000000000,27.47880000000000000000,33.44373103007537605134,229.00000000000000000000,74.06238018634026872598,29.65900000000000000000,.05000000000000000000,29.60900000000000000000,36.08696144862991624961
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,a000cd2,310.20000000000000000000,100.00,122.16540000000000000000,0.00,122.16540000000000000000,100.00,75.20000000000000000000,24.13408187013040932901,33.52680000000000000000,.03480000000000000000,33.49200000000000000000,27.43112355223781721010,222.60000000000000000000,71.75021880589402749013,44.16680000000000000000,.05320000000000000000,44.11360000000000000000,36.15478856713151483648
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,c808c8e,308.20000000000000000000,100.00,121.77720000000000000000,0.00,121.77720000000000000000,100.00,106.40000000000000000000,34.38857055084859824392,35.13920000000000000000,.03460000000000000000,35.10460000000000000000,28.87709538480814602370,223.80000000000000000000,72.60788208978681957965,44.33920000000000000000,.05380000000000000000,44.28540000000000000000,36.41736266065706749618
fhoeben/hsac-fitnesse-fixtures,.,faff990,174.80000000000000000000,100.00,13.06020000000000000000,0.00,13.06020000000000000000,100.00,5.80000000000000000000,3.18681318681318681318,2.00960000000000000000,.07500000000000000000,1.93460000000000000000,15.35914814169451741746,18.80000000000000000000,10.32967032967032967032,2.39700000000000000000,.09220000000000000000,2.30480000000000000000,18.31981948407173551524
hexagonframework/spring-data-ebean,.,2d3515b,20.80000000000000000000,100.00,18.49180000000000000000,0.00,18.49180000000000000000,100.00,17.20000000000000000000,72.85714285714285714285,14.21240000000000000000,.11980000000000000000,14.09260000000000000000,76.60218874499362654560,18.20000000000000000000,80.00000000000000000000,14.27460000000000000000,.12200000000000000000,14.15260000000000000000,76.93418084050783567829
kevinsawicki/http-request,lib,cb9e021,150.40000000000000000000,100.00,12.48120000000000000000,0.00,12.48120000000000000000,100.00,120.00000000000000000000,79.73333333333333333333,9.31980000000000000000,.01100000000000000000,9.30880000000000000000,74.09563958839794775170,120.40000000000000000000,80.00000000000000000000,9.26560000000000000000,.02180000000000000000,9.24380000000000000000,73.59743083523871127750
ktuukkan/marine-api,.,3d8dff0,716.40000000000000000000,100.00,18.26720000000000000000,0.00,18.26720000000000000000,100.00,15.80000000000000000000,2.19621680410878194611,4.59420000000000000000,.05400000000000000000,4.54020000000000000000,25.14540077689385658122,156.40000000000000000000,21.81619985280435476927,12.23540000000000000000,.07040000000000000000,12.16500000000000000000,66.98271165528949552334
ktuukkan/marine-api,.,b4afeed,693.60000000000000000000,100.00,17.71440000000000000000,0.00,17.71440000000000000000,100.00,136.00000000000000000000,19.52634341003346211567,6.87900000000000000000,.05460000000000000000,6.82440000000000000000,38.83183519644290308469,212.80000000000000000000,30.66391510708014850483,11.34700000000000000000,.07120000000000000000,11.27580000000000000000,64.16245268685757941666
openpojo/openpojo,.,2ab65a5,1156.20000000000000000000,100.00,337.95460000000000000000,0.00,337.95460000000000000000,100.00,403.40000000000000000000,34.89559563720754965262,303.57400000000000000000,.05940000000000000000,303.51460000000000000000,89.82513618244656296928,1127.40000000000000000000,97.50918884000801500121,337.14780000000000000000,.12220000000000000000,337.02560000000000000000,99.76062759472044085408
openpojo/openpojo,.,4d69e2c,1117.60000000000000000000,100.00,323.45880000000000000000,0.00,323.45880000000000000000,100.00,738.00000000000000000000,66.00645096943548780706,250.66200000000000000000,.05840000000000000000,250.60360000000000000000,77.39120148192920131387,877.60000000000000000000,78.49909279035243800456,257.34960000000000000000,.10620000000000000000,257.24340000000000000000,79.45929912836605423996
openpojo/openpojo,.,92186a6,1052.40000000000000000000,100.00,48.74940000000000000000,0.00,48.74940000000000000000,100.00,40.00000000000000000000,3.79878211556915173771,11.84020000000000000000,.01340000000000000000,11.82680000000000000000,24.41642585027425943319,1024.40000000000000000000,97.33941313554736257313,47.40100000000000000000,.08540000000000000000,47.31560000000000000000,97.35249154572694813194
openpojo/openpojo,.,a22bb1c,1124.00000000000000000000,100.00,330.58040000000000000000,0.00,330.58040000000000000000,100.00,425.60000000000000000000,37.93007278283454348854,299.98800000000000000000,.01300000000000000000,299.97500000000000000000,90.82940002447535834019,1096.00000000000000000000,97.50886840267005041767,322.00820000000000000000,.08720000000000000000,321.92100000000000000000,97.49881200172932281558
querydsl/querydsl,querydsl-hibernate-search,2c195ff,13.00000000000000000000,100.00,27.19560000000000000000,0.00,27.19560000000000000000,100.00,10.40000000000000000000,80.00000000000000000000,21.65660000000000000000,.08400000000000000000,21.57260000000000000000,80.04457789597901791782,10.40000000000000000000,80.00000000000000000000,22.17040000000000000000,.09860000000000000000,22.07180000000000000000,82.08307901417101760101
tbsalling/aismessages,.,12864f8,19.80000000000000000000,100.00,5.13420000000000000000,0.00,5.13420000000000000000,100.00,15.80000000000000000000,80.00000000000000000000,3.93960000000000000000,.05380000000000000000,3.88580000000000000000,76.81626384891288872990,15.80000000000000000000,80.00000000000000000000,3.90340000000000000000,.05920000000000000000,3.84420000000000000000,76.10890478001502232761
wikidata/wikidata-toolkit,wdtk-dumpfiles,f7cb408,62.20000000000000000000,100.00,31.72160000000000000000,0.00,31.72160000000000000000,100.00,14.80000000000000000000,22.93877917904614233868,9.04800000000000000000,.01060000000000000000,9.03740000000000000000,29.23920557223460728601,45.20000000000000000000,72.62184855065833931239,31.94280000000000000000,.01760000000000000000,31.92520000000000000000,100.50890778193470500207
wikidata/wikidata-toolkit,wdtk-util,539f522,11.60000000000000000000,100.00,9.02060000000000000000,0.00,9.02060000000000000000,100.00,3.40000000000000000000,20.70707070707070707070,2.75180000000000000000,.01160000000000000000,2.74020000000000000000,29.07077951719947192033,3.40000000000000000000,20.70707070707070707070,2.71680000000000000000,.01260000000000000000,2.70420000000000000000,28.70622559179716013946
wildfly/wildfly,naming,c22e231,82.00000000000000000000,100.00,19.18680000000000000000,0.00,19.18680000000000000000,100.00,82.00000000000000000000,100.00000000000000000000,19.24420000000000000000,.29540000000000000000,18.94880000000000000000,100.30453014250422252325,82.00000000000000000000,100.00000000000000000000,19.12460000000000000000,.29360000000000000000,18.83100000000000000000,99.67912003381603104615
zalando/riptide,riptide-spring-boot-starter,0844206,55.00000000000000000000,100.00,93.53600000000000000000,0.00,93.53600000000000000000,100.00,30.00000000000000000000,55.69548872180451127819,78.96860000000000000000,.09120000000000000000,78.87740000000000000000,84.52560927161825170731,44.80000000000000000000,81.88596491228070175438,95.69620000000000000000,.11880000000000000000,95.57740000000000000000,102.29445013910647489940
Overall-1,27,10297.871,40343,100.00,76.35669444444444444444,0,76.35669444444444444444,100.00,12607,31.24953523535681530872,49.36786296296296296296,,,64.65426944179989554385,29471,73.05108692957886126465,59.73932407407407407407,,,78.23717947551956139575
Overall-2,27,,298.90000000000000000000,100.00,76.35669444444444444444,0,76.35669444444444444444,100.00,93.42222222222222222222,41.73345015096166805894,49.36786296296296296296,,,53.32959760540787929371,218.34074074074074074074,65.36236066289369565724,59.73932407407407407407,,,68.42049106911609838355
